price_open,price_high,price_low,amount,price_close
2135.67,2145.44,2130.59,13652.05,2145.4
2150.29,2168.08,2150.29,19551.5,2168.06
2173.3,2177.16,2163.19,20671.82,2176.68
2177.99,2179.74,2167.59,18518.06,2172.56
2172.43,2175.58,2148.31,19874.42,2172.87
2173.96,2179.57,2152.01,21906.31,2152.34
2150.34,2157.51,2132.55,18665.05,2150.43
2151.34,2166.19,2151.34,14266.59,2166.17
2168.05,2170.39,2115.26,17711.21,2119.18
2113.39,2125.79,2102.83,13482.61,2105.06
2104.03,2120.84,2104.03,10974.03,2115.11
2117.17,2122.5,2111.95,10497.14,2119.18
2119.9,2138.04,2119.89,8704.7,2137.99
2140.55,2142.38,2127.32,10453.43,2132.89
2134.19,2147.34,2134.19,11162.46,2147.28
2150.32,2155.42,2144.76,10971.41,2155.41
2161.61,2178.7,2160.12,16209.59,2178.47
2184.79,2191.07,2176.79,17346.85,2191.06
2195.37,2199.54,2187.41,17561.13,2199.5
2201.98,2205.01,2187.84,16880.67,2194.65
2194.62,2203.37,2186.65,17431.72,2203.37
2207.78,2213.75,2202.74,19288.41,2213.6
2215.77,2218.45,2205.25,14681.26,2210.34
2210.85,2213.4,2175.28,17438.18,2197.6
2198.01,2202.84,2192.17,15475.62,2198.3
2199.66,2204.24,2181.25,13727.02,2193.58
2194.45,2194.83,2171.68,15291.97,2179.7
2177.65,2188.76,2176.56,13221.5,2180.28
2180.62,2211.21,2180.53,14402.93,2211.2
2217.87,2222.65,2208.88,16855.25,2214.26
2216.56,2223.26,2212.16,17420.04,2219.59
2223.91,2229.06,2222.23,18297.35,2226.78
2229.25,2235.5,2226.82,16846,2234.99
2237.99,2241.09,2224.3,17074.33,2238.5
2241.01,2242.69,2223.41,14376.23,2229.81
2229.21,2229.41,2211.75,14007.79,2223.07
2223.8,2226.61,2206.64,13600.02,2214.62
2213.55,2223.3,2211.86,14480.01,2222.96
2227.07,2242.42,2226.88,15797.22,2242.42
2243.3,2245.44,2201.01,17930.53,2202.4
2196.69,2212.09,2188.25,15446.39,2210.97
2211.89,2214.11,2157.12,15957.38,2167.65
2163.32,2174.21,2158.76,10325.51,2170.45
2171.01,2180.73,2157.4,8642.62,2163.12
2164.12,2189.23,2164.09,8041.82,2189.15
2191.36,2206.51,2188.94,10375.1,2206.07
2210.07,2230.22,2210.04,14482.37,2230.2
2234.07,2236.78,2223.5,16215.56,2233.59
2234.71,2237.52,2223.81,13143.93,2229.83
2231.37,2237.49,2213.58,13077.43,2219.25
2218.57,2225.35,2214.16,9578.77,2218.03
2220.42,2223.21,2201.59,9734.74,2205.99
2206.85,2211.86,2191.68,8128.68,2211.83
2212.97,2216.22,2199.63,7097.45,2202.06
2202.3,2204.26,2176.75,8958.14,2181.66
2179.81,2187.24,2168.78,8616.21,2170.52
2169.47,2175.17,2164.01,7344.83,2169.66
2172.61,2189.8,2172.59,7517.81,2189.78
2190.98,2192.52,2167.67,6976.56,2168.74
2164.92,2168.4,2153.68,6826,2165.49
2167.7,2178.02,2158.85,7374.97,2161.34
2176.34,2183.52,2142.08,10684.82,2146.24
2145.49,2146.03,2121.28,8389.69,2140.98
2142.01,2147.84,2137.41,5640.05,2146.54
2146.51,2150.27,2135.24,6882.56,2150.26
2153.24,2179.77,2153.14,11548.36,2179.62
2183.74,2185.86,2166.33,10429.15,2169.01
2162.75,2162.75,2129.18,10255.28,2136.45
2130.45,2140.5,2108.76,8441.63,2112.26
2109.92,2116.56,2086.08,7673.06,2094.01
2093.87,2101.15,2063.89,7881.57,2065.73
2056.76,2056.77,1955.97,9727.67,1956.8
1939.26,1978.1,1909.3,8769.21,1920.32
1925.24,1986.94,1925.24,9035.16,1986.93
1989.64,1990.7,1912.73,7882.72,1957.02
1956.54,1965.32,1948.9,5392.85,1958.69
1953.41,1953.45,1867.86,7951.11,1882.13
1872.67,1911.21,1861.78,8506.01,1903.93
1902.87,1907.95,1885.42,8037.43,1895.17
1894.69,1924.65,1894.05,7777.66,1924.59
1929.96,1956.4,1929.69,10767.09,1955.04
1956.93,1963.14,1942.07,7601.67,1955.1
1955.51,1960.95,1924.27,6818.21,1939.54
1938.54,1949.16,1935.39,4984.72,1947.36
1948.27,1950.46,1918.49,5405.54,1919.65
1916.84,1928.14,1909.67,4945.06,1924
1923.1,1937.16,1917.1,6349.41,1934.49
1936.06,1947.4,1935.77,5834.75,1938.87
1935.54,1935.56,1891.35,7531.07,1903.45
1892.37,1903.47,1869.49,7039.79,1902.99
1903.38,1912.19,1883.24,6626.12,1886.8
1881.31,1881.31,1824.88,8533.42,1827.25
1816.66,1843.44,1795.57,7195.6,1843.39
1846.82,1865.48,1837.94,6435.77,1847.54
1846.19,1846.54,1831.02,4167.96,1839.63
1838.21,1846.94,1831.52,3657.22,1834.14
1831.7,1831.8,1813.37,4566.07,1817.19
1815.27,1862.4,1814.92,7228.94,1862.36
1868.36,1888.9,1863.83,7342.65,1868.27
1867.63,1876.47,1853.29,5237.04,1861.56
1858.24,1858.24,1807.14,6510.05,1808.84
1790.21,1858.2,1774.83,7570.42,1856.53
1859.97,1871.13,1849.61,6564.94,1863.78
1822.13,1858.69,1815.59,9852.09,1852.6
1851.62,1857.86,1837.82,4730.89,1839.91
1838.67,1846.02,1814.74,5505.29,1818.38
1811.9,1816.26,1782.5,5668.96,1784.61
1784.59,1817.56,1780.05,4488.18,1798.62
1800.24,1822.97,1784.91,4832.96,1822.7
1826.42,1836.79,1814.46,5820.95,1818.42
1815.56,1821.34,1803.8,4024.93,1807.02
1804.89,1808.7,1791.62,3276.99,1794.96
1799.98,1813.31,1788.4,3395.76,1793.88
1793.65,1793.67,1765.17,3273.62,1767.81
1765.62,1779.13,1750.76,3770.56,1764.93
1766.13,1774.3,1751.72,4046.74,1764.87
1766.13,1773.8,1723.04,3081.94,1726.53
1724.17,1751.07,1722.22,3151.32,1744.64
1744.04,1744.64,1683.71,4675.75,1686.61
1682.32,1693.22,1634.21,4937.64,1638.33
1637.75,1700.71,1598.79,8113.37,1691.33
1692.17,1703.59,1670.27,5149.46,1687.28
1689.19,1691.65,1649.2,3769.39,1655.9
1654.93,1661.88,1635.92,3081.27,1643.07
1642.01,1651.11,1609.38,3531.48,1615.58
1610.45,1610.45,1550.91,6162.06,1572.45
1558.47,1563.4,1514.86,4282.27,1520.67
1642.22,1670.74,1625.15,15108.64,1670.56
1733.64,1744.92,1685.72,23413.28,1718.06
1708.03,1708.03,1673.05,11938.46,1676.5
1669.16,1681.9,1651.52,7450.65,1677.88
1678.73,1701.12,1678.73,6326.99,1700.48
1702.86,1704.48,1680.44,4570.87,1682.77
1678.93,1689.17,1655.89,4521.89,1689.17
1692.35,1717.74,1688.1,6950.33,1707.75
1703.92,1711.74,1688.57,4625.09,1691.35
1687.84,1688.31,1671.23,3750.23,1679.57
1678.17,1685.52,1668.66,3871.55,1671.28
1669.43,1669.46,1591.77,6247.02,1594.05
1566.52,1605.9,1550.47,5184.76,1605.87
1605.08,1637.9,1582.85,6023.15,1630.36
1631.8,1637.33,1619.11,4265.99,1621.2
1609.95,1623.45,1598.11,3507.88,1615.93
1615.75,1627.97,1614.59,2949.79,1617.1
1619.26,1624.81,1612.91,2726.78,1621.34
1725.45,1734.67,1644.61,12728.56,1646.76
1645.09,1669.99,1644.82,5061.77,1669.89
1672.21,1703.74,1670.8,10016.46,1699.73
1700.66,1707.93,1690.23,7499.88,1705.66
1705.92,1715.93,1700.51,7609.64,1715.81
1715.65,1721.97,1704.14,6833.09,1712.56
1710.13,1710.13,1696,5098.98,1705.89
1705.51,1722.62,1704.85,5509.31,1722.59
1725.54,1741.67,1725.16,8474.96,1735
1735.38,1741.74,1728.89,7714.61,1732.3
1732.13,1748,1731.96,7841.98,1747.99
1751.05,1767.44,1750.92,9575.22,1762.56
1763.79,1770.36,1754.87,8118.59,1769.68
1765.56,1776.02,1745.11,10564.74,1745.23
1740.08,1754.77,1737.06,8838.67,1751.18
1752.02,1756.47,1743.33,6793.4,1745.41
1743.63,1748.97,1730.81,5843.79,1748.68
1748.02,1748.98,1726.69,5955.3,1728.88
1724.88,1728.83,1714.18,6305.42,1715.17
1713.78,1720.55,1687.09,6199.53,1688.01
1683.73,1692.91,1673.32,4867.17,1675.51
1673.24,1680.84,1662.68,3949.57,1665.94
1666.51,1687.77,1660.5,5427.69,1687.29
1688.92,1693.18,1671.94,5077.23,1672.7
1669.48,1669.48,1628.47,6230.01,1631.54
1627.44,1640.79,1624.5,4057,1640.14
1639.52,1640.14,1601.24,4674.13,1606.1
1604.67,1613.6,1593.03,4490.37,1611.17
1610.65,1634.33,1605.15,5077.11,1633.64
1635.46,1644.41,1625.46,5946.21,1627.92
1626.96,1639.85,1619.53,5508.55,1639.48
1641.43,1649.8,1638.32,5791,1645.97
1643.49,1643.5,1608.83,3211.05,1611.39
1605.74,1605.74,1584.66,3033.08,1596.76
1594.87,1607.72,1582.45,3752.64,1583.46
1580.71,1580.72,1552.56,4243.77,1561.35
1556.74,1580.01,1523.66,5529.78,1576.44
1574.26,1574.27,1535.28,4516.17,1535.59
1519.93,1519.93,1484.46,5421.76,1485.11
1475.34,1491.7,1458.02,5112.33,1459.65
1458.84,1482.18,1439.4,5789.75,1479.62
1476.36,1476.38,1416.3,4993.91,1419.52
1405.55,1434.97,1376.89,6855.96,1415.44
1407,1412.21,1362.62,4781.88,1366.97
1360.29,1400.76,1348.79,5872.24,1358.69
1355.86,1445.7,1346.17,8503.14,1444.97
1435.32,1478.54,1400.35,11731.69,1456.4
1449.88,1464.9,1442.94,6884.38,1451.48
1444.5,1448.6,1357.55,8673.31,1359.55
1343.36,1396.11,1339.2,5878.1,1392.78
1392.95,1408.05,1381.01,4721.29,1396.61
1413.22,1501.33,1413.22,17119.34,1491.67
1494.58,1507.64,1480.77,12498.44,1485.77
1485.68,1513.67,1476.13,7797.09,1511.33
1510.57,1522.32,1502.09,8941.87,1518.28
1517.81,1521.56,1484.25,7682.56,1485.8
1482.36,1521.03,1481.07,8516.3,1515.39
1520.72,1530.13,1506.07,6585.95,1506.62
1540.49,1544.57,1521.66,7934.07,1530.28
1529.38,1531.72,1507.58,6361.96,1531.43
1531.32,1544.92,1524.69,6571.92,1538.32
1537.93,1544.39,1521.08,6240.8,1524.7
1521.53,1521.57,1501.56,5351.31,1502.54
1497.83,1527.4,1494.83,5370.16,1526.8
1529.3,1566.07,1529.3,11735.39,1560.08
1564.69,1594.67,1563.92,15713.02,1569.21
1569.17,1613.26,1569.07,16103.67,1613
1622.87,1645.29,1611.23,22806.74,1640.26
1643.59,1664.52,1632.62,19530.69,1664.09
1665.24,1672.04,1641.58,21263.8,1643.69
1636.95,1655.63,1621.8,15291.99,1623.43
1621.08,1665.79,1621.08,12391.86,1665.15
1671.83,1676.51,1620.56,14915.34,1620.98
1641.43,1657.68,1610.99,11327.79,1623.88
1624.32,1665.62,1624.29,14084.85,1665.36
1673.27,1686.11,1664.37,19462.92,1682.51
1686.95,1693.87,1675.25,14229.52,1685.02
1684.07,1684.46,1659.52,10774.06,1669.69
1667.85,1677.05,1663.4,9426.94,1675.29
1674.7,1675.21,1641.91,9815.94,1649.48
1646.68,1655.18,1635.82,7603.15,1654.23
1653.98,1666.52,1645.34,8865.47,1650.67
1648.09,1648.09,1596.25,11772.5,1603.91
1598.03,1609.92,1589.41,6838.94,1608.51
1608.52,1610.73,1575.97,7592.75,1582.88
1582.74,1603.8,1582.67,6421.7,1594.51
1595.02,1643.54,1583.63,9108.1,1641.7
1650.5,1657.09,1628.55,9848.77,1634.64
1633.83,1643.68,1631.07,6581.74,1640.65
1641.85,1671.86,1640.69,16660.42,1667.52
1670.8,1677.94,1663.47,12565.17,1677.66
1679.34,1680.3,1649.27,9759.86,1649.53
1648.45,1664.42,1648.45,8563.9,1658.98
1660.57,1664.52,1638.64,7205.44,1649.5
1647.51,1654.74,1635.75,6371.57,1640.29
1641.72,1649.43,1630.23,5979.33,1644.4
1644.15,1646.25,1626.03,7467.27,1628.14
1625.25,1635.53,1603.96,8358.4,1635.17
1633.64,1637.19,1619.16,5534.01,1627.48
1626.63,1634.86,1621.87,5134.08,1624.55
1623.47,1626.39,1609.21,5084.86,1611.05
1609.94,1616.76,1603.64,4951.06,1615.92
1615.52,1643.15,1615.52,7282.96,1640.59
1643.55,1667.16,1640.56,10874.35,1665.81
1668.31,1673.75,1657.82,10682.63,1667.75
1669.87,1670.92,1651.69,5179.32,1652.37
1648.46,1659.25,1646.82,5959.7,1650.58
1650.91,1652.29,1636.86,6406.79,1638.2
1634.9,1634.92,1618.46,6156.73,1623.94
1622.33,1629.88,1613.55,6108.71,1616.23
1614.9,1618.14,1597.92,6680.83,1598.35
