date,price_open,price_high,price_low,price_close,amount
36966,2023.03,2024.28,2011.99,2020.24,10272.26
36969,2019.85,2036.63,2017.49,2036.62,11601.36
36970,2039.55,2045.94,2037.17,2045.79,11586.39
36971,2047.63,2066.39,2046.43,2066.39,12963.83
36972,2071.2,2087.53,2068.14,2087.53,17676.01
36973,2091.18,2093.95,2052.56,2053.54,18580.2
36976,2052.06,2089.99,2052.06,2089.88,14310.99
36977,2096.5,2107.3,2090.9,2107.26,15898.23
36978,2109.75,2112.88,2096.92,2106.87,15209.67
36979,2107.22,2111.73,2096.93,2101.66,15283.5
36980,2101.1,2112.83,2096.28,2112.77,13560.67
36983,2117.45,2126.97,2114.78,2125.08,15302.09
36984,2127.78,2129.83,2109.25,2123.05,12823.85
36985,2123.89,2128.16,2084.93,2090.72,14766.6
36986,2084.81,2112.62,2081.64,2112.6,11267.33
36987,2116.38,2122.22,2103.26,2108.61,10596.7
36990,2108.97,2117.41,2100.97,2117.37,11780.11
36991,2119.54,2128.55,2119.36,2128.48,10866.47
36992,2130.9,2134.51,2121.16,2131.4,11560.12
36993,2132.81,2141.92,2124.82,2134.8,17650.62
36994,2135.67,2145.44,2130.59,2145.4,13652.05
36997,2150.29,2168.08,2150.29,2168.06,19551.5
36998,2173.3,2177.16,2163.19,2176.68,20671.82
36999,2177.99,2179.74,2167.59,2172.56,18518.06
37000,2172.43,2175.58,2148.31,2172.87,19874.42
37001,2173.96,2179.57,2152.01,2152.34,21906.31
37004,2150.34,2157.51,2132.55,2150.43,18665.05
37005,2151.34,2166.19,2151.34,2166.17,14266.59
37006,2168.05,2170.39,2115.26,2119.18,17711.21
37007,2113.39,2125.79,2102.83,2105.06,13482.61
37008,2104.03,2120.84,2104.03,2115.11,10974.03
37011,2117.17,2122.5,2111.95,2119.18,10497.14
37019,2119.9,2138.04,2119.89,2137.99,8704.7
37020,2140.55,2142.38,2127.32,2132.89,10453.43
37021,2134.19,2147.34,2134.19,2147.28,11162.46
37022,2150.32,2155.42,2144.76,2155.41,10971.41
37025,2161.61,2178.7,2160.12,2178.47,16209.59
37026,2184.79,2191.07,2176.79,2191.06,17346.85
37027,2195.37,2199.54,2187.41,2199.5,17561.13
37028,2201.98,2205.01,2187.84,2194.65,16880.67
37029,2194.62,2203.37,2186.65,2203.37,17431.72
37032,2207.78,2213.75,2202.74,2213.6,19288.41
37033,2215.77,2218.45,2205.25,2210.34,14681.26
37034,2210.85,2213.4,2175.28,2197.6,17438.18
37035,2198.01,2202.84,2192.17,2198.3,15475.62
37036,2199.66,2204.24,2181.25,2193.58,13727.02
37039,2194.45,2194.83,2171.68,2179.7,15291.97
37040,2177.65,2188.76,2176.56,2180.28,13221.5
37041,2180.62,2211.21,2180.53,2211.2,14402.93
37042,2217.87,2222.65,2208.88,2214.26,16855.25
37043,2216.56,2223.26,2212.16,2219.59,17420.04
37046,2223.91,2229.06,2222.23,2226.78,18297.35
37047,2229.25,2235.5,2226.82,2234.99,16846
37048,2237.99,2241.09,2224.3,2238.5,17074.33
37049,2241.01,2242.69,2223.41,2229.81,14376.23
37050,2229.21,2229.41,2211.75,2223.07,14007.79
37053,2223.8,2226.61,2206.64,2214.62,13600.02
37054,2213.55,2223.3,2211.86,2222.96,14480.01
37055,2227.07,2242.42,2226.88,2242.42,15797.22
37056,2243.3,2245.44,2201.01,2202.4,17930.53
37057,2196.69,2212.09,2188.25,2210.97,15446.39
37060,2211.89,2214.11,2157.12,2167.65,15957.38
37061,2163.32,2174.21,2158.76,2170.45,10325.51
37062,2171.01,2180.73,2157.4,2163.12,8642.62
37063,2164.12,2189.23,2164.09,2189.15,8041.82
37064,2191.36,2206.51,2188.94,2206.07,10375.1
37067,2210.07,2230.22,2210.04,2230.2,14482.37
37068,2234.07,2236.78,2223.5,2233.59,16215.56
37069,2234.71,2237.52,2223.81,2229.83,13143.93
37070,2231.37,2237.49,2213.58,2219.25,13077.43
37071,2218.57,2225.35,2214.16,2218.03,9578.77
37074,2220.42,2223.21,2201.59,2205.99,9734.74
37075,2206.85,2211.86,2191.68,2211.83,8128.68
37076,2212.97,2216.22,2199.63,2202.06,7097.45
37077,2202.3,2204.26,2176.75,2181.66,8958.14
37078,2179.81,2187.24,2168.78,2170.52,8616.21
37081,2169.47,2175.17,2164.01,2169.66,7344.83
37082,2172.61,2189.8,2172.59,2189.78,7517.81
